"Date","X_00300_00003","X_00300_00003_cd"
2006-01-21,11.4,"A"
2006-01-22,11.4,"A"
2006-01-23,11.4,"A"
2006-01-24,11.4,"A"
2006-01-25,11.3,"A"
2006-01-26,11.4,"A"
2006-01-27,11.4,"A"
2006-01-28,11.5,"A"
2006-01-29,11.3,"A"
2006-01-30,11.5,"A"
2006-01-31,11.7,"A"
2006-02-01,11.6,"A"
2006-02-02,11.6,"A"
2006-02-03,11.7,"A"
2006-02-04,11.4,"A"
2006-02-05,11.7,"A"
2006-02-06,11.6,"A"
2006-02-07,11.9,"A"
2006-02-08,11.8,"A"
2006-02-09,11.8,"A"
2006-02-10,11.8,"A"
2006-02-11,11.5,"A"
2006-02-12,11.7,"A"
2006-02-13,11.9,"A"
2006-02-14,11.8,"A"
2006-02-15,11.8,"A"
2006-02-16,11.7,"A"
2006-02-17,11.6,"A"
2006-02-18,11.4,"A"
2006-02-19,11.7,"A"
2006-02-20,11.5,"A"
2006-02-21,11.7,"A"
2006-02-22,11.3,"A"
2006-02-23,11.4,"A"
2006-02-24,11.6,"A"
2006-02-25,11.1,"A"
2006-02-26,11.3,"A"
2006-02-27,11.3,"A"
2006-02-28,11.2,"A"
2006-03-01,11.2,"A"
2006-03-02,11,"A"
2006-03-03,11,"A"
2006-03-04,10.9,"A"
2006-03-05,10.7,"A"
2006-03-06,10.6,"A"
2006-03-07,10.5,"A"
2006-03-08,10.5,"A"
2006-03-09,10.2,"A"
2006-03-17,11.3,"A"
2006-03-18,10.9,"A"
2006-03-19,10.5,"A"
2006-03-29,10.6,"A"
2006-03-30,10.6,"A"
2006-03-31,10.5,"A"
2006-04-01,10.4,"A"
2006-04-02,10.4,"A"
2006-04-03,10.4,"A"
2006-04-04,10.5,"A"
2006-04-05,10.6,"A"
2006-04-06,10.3,"A"
2006-04-07,10.4,"A"
2006-04-08,10.1,"A"
2006-04-09,10.3,"A"
2006-04-10,10.4,"A"
2006-04-11,10.4,"A"
2006-04-12,10.2,"A"
2006-04-13,10.2,"A"
2006-04-14,10.3,"A"
2006-04-15,10.1,"A"
2006-04-16,10,"A"
2006-04-17,10,"A"
2006-04-18,10,"A"
2006-04-19,9.5,"A"
2006-04-20,9.8,"A"
2006-04-21,9.4,"A"
2006-04-22,9.6,"A"
2006-04-23,9.6,"A"
2006-04-24,9.6,"A"
2006-04-25,9.3,"A"
2006-04-26,9.1,"A"
2006-04-27,9.3,"A"
2006-04-28,9.2,"A"
2006-04-29,9.1,"A"
2006-04-30,9,"A"
2006-05-01,9,"A"
2006-05-02,8.7,"A"
2006-05-03,8.6,"A"
2006-05-04,8.5,"A"
2006-05-05,8.2,"A"
2006-05-06,8.5,"A"
2006-05-07,8,"A"
2006-05-08,8.2,"A"
2006-05-09,8.3,"A"
2006-05-10,7.6,"A"
2006-05-11,7.7,"A"
2006-05-12,8,"A"
2006-05-13,7.7,"A"
2006-05-14,7.7,"A"
2006-05-15,7.7,"A"
2006-05-16,7.3,"A"
2006-05-17,7,"A"
2006-05-18,7,"A"
2006-05-19,7.4,"A"
2006-05-20,7.3,"A"
2006-05-21,7.3,"A"
2006-05-22,7.3,"A"
2006-05-23,7.4,"A"
2006-05-24,7.3,"A"
2006-05-25,7.3,"A"
2006-05-26,7.3,"A"
2006-05-27,7.2,"A"
2006-05-28,7.2,"A"
2006-05-29,7,"A"
2006-05-30,7.1,"A"
2006-05-31,7.2,"A"
2006-06-01,6.8,"A"
2006-06-02,6.6,"A"
2006-06-03,6.6,"A"
2006-06-04,6.5,"A"
2006-06-05,6.7,"A"
2006-06-06,6.6,"A"
2006-06-07,6.5,"A"
2006-06-08,6.5,"A"
2006-06-09,6.3,"A"
2006-06-10,6.2,"A"
2006-06-11,6.2,"A"
2006-06-12,5.9,"A"
2006-06-13,5.8,"A"
2006-06-14,6.6,"A"
2006-06-15,6.1,"A"
2006-06-16,6,"A"
2006-06-17,6.1,"A"
2006-06-18,5.6,"A"
2006-06-19,5.7,"A"
2006-06-20,5.7,"A"
2006-06-21,5.8,"A"
2006-06-22,5.5,"A"
2006-06-23,5.7,"A"
2006-06-24,5.5,"A"
2006-06-25,4.9,"A"
2006-06-26,5.1,"A"
2006-06-27,5.9,"A"
2006-06-28,6.8,"A"
2006-06-29,6.7,"A"
2006-06-30,6.8,"A"
2006-07-01,6.6,"A"
2006-07-02,6.9,"A"
2006-07-03,6.9,"A"
2006-07-04,6.9,"A"
2006-07-05,6.8,"A"
2006-07-06,6.4,"A"
2006-07-07,6.9,"A"
2006-07-08,8.1,"A"
2006-07-20,5.8,"A"
2006-07-21,5.3,"A"
2006-07-26,6.8,"A"
2006-07-27,6.7,"A"
2006-07-28,6,"A"
2006-07-29,4.3,"A"
2006-07-30,4.8,"A"
2006-07-31,5.2,"A"
2006-08-01,4.8,"A"
2006-08-02,5,"A"
2006-08-03,4.6,"A"
2006-08-04,4.5,"A"
2006-08-05,4.6,"A"
2006-08-06,5,"A"
2006-08-07,4.6,"A"
2006-08-08,4.4,"A"
2006-08-09,4.7,"A"
2006-08-10,4.3,"A"
2006-08-11,4.2,"A"
2006-08-12,4.3,"A"
2006-08-13,5,"A"
2006-08-14,4.8,"A"
2006-08-15,4.5,"A"
2006-08-16,4.4,"A"
2006-08-17,5,"A"
2006-08-18,4.9,"A"
2006-08-19,4.8,"A"
2006-08-20,4.6,"A"
2006-08-21,4.8,"A"
2006-08-22,4.3,"A"
2006-08-23,3.7,"A"
2006-08-24,3.5,"A"
2006-08-25,3.4,"A"
2006-08-26,3.9,"A"
2006-08-27,4,"A"
2006-08-28,3.4,"A"
2006-08-29,3.5,"A"
2006-08-30,3.4,"A"
2006-08-31,3.1,"A"
2006-09-01,3.2,"A"
2006-09-02,3.7,"A"
2006-09-03,3.2,"A"
2006-09-04,3.4,"A"
2006-09-05,3.1,"A"
2006-09-06,3.4,"A"
2006-09-07,3.3,"A"
2006-09-08,3.9,"A"
2006-09-09,3.7,"A"
2006-09-12,3.2,"A"
2006-09-13,4,"A"
2006-09-14,3.6,"A"
2006-09-15,3.6,"A"
2006-09-16,3.6,"A"
2006-09-17,3.5,"A"
2006-09-18,3.5,"A"
2006-09-19,3.7,"A"
2006-09-20,4.1,"A"
2006-09-21,4.1,"A"
2006-09-22,4.1,"A"
2006-09-23,4.2,"A"
2006-09-24,3.6,"A"
2006-09-25,4.6,"A"
2006-09-26,6.2,"A"
2006-09-27,6,"A"
2006-09-28,5.8,"A"
2006-09-29,6.5,"A"
2006-09-30,7.7,"A"
2006-10-01,7.6,"A"
2006-10-02,7,"A"
2006-10-03,6.9,"A"
2006-10-04,7.3,"A"
2006-10-12,6.1,"A"
2006-10-13,6.6,"A"
2006-10-14,6.6,"A"
2006-10-15,6.5,"A"
2006-10-16,6.2,"A"
2006-10-17,6,"A"
2006-10-18,6.2,"A"
2006-10-19,6.4,"A"
2006-10-20,7,"A"
2006-10-21,7.2,"A"
2006-10-22,6.9,"A"
2006-10-23,7.3,"A"
2006-10-24,7.2,"A"
2006-10-25,7.4,"A"
2006-10-26,7.4,"A"
2006-10-27,7.2,"A"
2006-10-28,7.7,"A"
2006-10-29,8.1,"A"
2006-10-30,8,"A"
2006-10-31,8.3,"A"
2006-11-01,8.4,"A"
2006-11-02,8.4,"A"
2006-11-03,8.8,"A"
2006-11-04,8.9,"A"
2006-11-05,9.1,"A"
2006-11-06,9.2,"A"
2006-11-07,8.8,"A"
2006-11-08,8.6,"A"
2006-11-09,8.9,"A"
2006-11-10,8.8,"A"
2006-11-11,8.5,"A"
2006-11-12,9.1,"A"
2006-11-13,9.3,"A"
2006-11-14,9.5,"A"
2006-11-15,9.1,"A"
2006-11-16,9.1,"A"
2006-11-17,9.3,"A"
2006-11-18,9.4,"A"
2006-11-19,9.6,"A"
2006-11-20,9.8,"A"
2006-11-21,9.9,"A"
2006-11-22,10.1,"A"
2006-11-23,10.2,"A"
2006-11-24,10.3,"A"
2006-11-25,10.4,"A"
2006-11-26,10.3,"A"
2006-11-27,10.3,"A"
2006-11-28,10,"A"
2006-11-29,9.9,"A"
2006-12-07,9.4,"A"
2006-12-08,9.6,"A"
2006-12-09,9.5,"A"
2006-12-10,9.6,"A"
2006-12-11,9.9,"A"
2006-12-12,9.8,"A"
2006-12-13,9.9,"A"
2006-12-14,9.9,"A"
2006-12-15,9.9,"A"
2006-12-16,9.8,"A"
2006-12-17,9.9,"A"
2006-12-18,9.9,"A"
2006-12-19,9.8,"A"
2006-12-20,9.9,"A"
2006-12-21,9.9,"A"
2006-12-22,9.7,"A"
2006-12-23,9.6,"A"
2006-12-24,9.5,"A"
2006-12-25,9.7,"A"
2006-12-26,9.6,"A"
2006-12-27,9.8,"A"
2006-12-28,9.9,"A"
2006-12-29,9.8,"A"
2006-12-30,9.7,"A"
2006-12-31,9.6,"A"
2007-01-01,9.5,"A"
2007-01-02,9.8,"A"
2007-01-03,9.7,"A"
2007-01-04,9.4,"A"
2007-01-05,9.4,"A"
