"Date","X_00060_00003","X_00060_00003_cd"
2006-02-25,321,"A"
2006-02-26,321,"A"
2006-02-27,1430,"A"
2006-02-28,1660,"A"
2006-03-01,1440,"A"
2006-03-02,1020,"A"
2006-03-03,1000,"A"
2006-03-04,310,"A"
2006-03-05,310,"A"
2006-03-06,1650,"A"
2006-03-07,1540,"A"
2006-03-08,1550,"A"
2006-03-09,1240,"A"
2006-03-10,956,"A"
2006-03-11,320,"A"
2006-03-12,321,"A"
2006-03-13,2050,"A"
2006-03-14,1200,"A"
2006-03-15,1500,"A"
2006-03-16,2950,"A"
2006-03-17,1530,"A"
2006-03-18,322,"A"
2006-03-19,1030,"A"
2006-03-20,1570,"A"
2006-03-21,1860,"A"
2006-03-22,2120,"A"
2006-03-23,6450,"A"
2006-03-24,4100,"A"
2006-03-25,340,"A"
2006-03-26,332,"A"
2006-03-27,2260,"A"
2006-03-28,1040,"A"
2006-03-29,781,"A"
2006-03-30,895,"A"
2006-03-31,1640,"A"
2006-04-01,954,"A"
2006-04-02,351,"A"
2006-04-03,1070,"A"
2006-04-04,981,"A"
2006-04-05,894,"A"
2006-04-06,1860,"A"
2006-04-07,705,"A"
2006-04-08,360,"A"
2006-04-09,359,"A"
2006-04-10,740,"A"
2006-04-11,1710,"A"
2006-04-12,1090,"A"
2006-04-13,836,"A"
2006-04-14,819,"A"
2006-04-15,354,"A"
2006-04-16,430,"A"
2006-04-17,734,"A"
2006-04-18,1020,"A"
2006-04-19,667,"A"
2006-04-20,619,"A"
2006-04-21,535,"A"
2006-04-22,361,"A"
2006-04-23,354,"A"
2006-04-24,464,"A"
2006-04-25,703,"A"
2006-04-26,598,"A"
2006-04-27,285,"A"
2006-04-28,285,"A"
2006-04-29,285,"A"
2006-04-30,285,"A"
2006-05-01,566,"A"
2006-05-02,859,"A"
2006-05-03,1110,"A"
2006-05-04,1140,"A"
2006-05-05,1090,"A"
2006-05-06,338,"A"
2006-05-07,281,"A"
2006-05-08,562,"A"
2006-05-09,527,"A"
2006-05-10,1660,"A"
2006-05-11,1760,"A"
2006-05-12,653,"A"
2006-05-13,273,"A"
2006-05-14,273,"A"
2006-05-15,530,"A"
2006-05-16,880,"A"
