Date,X_00060_00003,X_00060_00003_cd
2012-03-09,1720,A
2012-03-10,313,A
2012-03-11,310,A
2012-03-12,2030,A
2012-03-13,2540,A
2012-03-14,2500,A
2012-03-15,2730,A
2012-03-16,1730,A
2012-03-17,317,A
2012-03-18,310,A
2012-03-19,1620,A
2012-03-20,2030,A
2012-03-21,466,A
2012-03-22,559,A
2012-03-23,538,A
2012-03-24,328,A
2012-03-25,332,A
2012-03-26,643,A
2012-03-27,332,A
2012-03-28,332,A
2012-03-29,322,A
2012-03-30,321,A
2012-03-31,321,A
2012-04-01,325,A
2012-04-02,327,A
2012-04-03,319,A
2012-04-04,456,A
2012-04-05,310,A
2012-04-06,310,A
2012-04-07,310,A
2012-04-08,310,A
2012-04-09,447,A
2012-04-10,310,A
2012-04-11,310,A
2012-04-12,310,A
2012-04-13,298,A
2012-04-14,297,A
2012-04-15,298,A
2012-04-16,303,A
2012-04-17,420,A
2012-04-18,302,A
2012-04-19,462,A
2012-04-20,297,A
2012-04-21,297,A
2012-04-22,297,A
2012-04-23,871,A
2012-04-24,1030,A
2012-04-25,882,A
2012-04-26,1050,A
2012-04-27,1040,A
2012-04-28,286,A
2012-04-29,285,A
2012-04-30,285,A
2012-05-01,285,A
2012-05-02,285,A
2012-05-03,1050,A
2012-05-04,1350,A
2012-05-05,285,A
2012-05-06,285,A
2012-05-07,1200,A
2012-05-08,1510,A
2012-05-09,1590,A
2012-05-10,1510,A
2012-05-11,1510,A
2012-05-12,279,A
2012-05-13,286,A
2012-05-14,614,A
2012-05-15,3870,A
2012-05-16,4000,A
2012-05-17,4020,A
2012-05-18,1480,A
2012-05-19,285,A
2012-05-20,285,A
2012-05-21,885,A
2012-05-22,891,A
2012-05-23,1400,A
2012-05-24,1460,A
2012-05-25,1200,A
2012-05-26,285,A
2012-05-27,285,A
2012-05-28,1290,A
2012-05-29,1450,A
2012-05-30,1210,A
2012-05-31,1280,A
2012-06-01,1280,A
2012-06-02,297,A
2012-06-03,297,A
2012-06-04,914,A
2012-06-05,916,A
2012-06-06,916,A
2012-06-07,871,A
2012-06-08,924,A
2012-06-09,309,A
2012-06-10,310,A
2012-06-11,926,A
2012-06-12,612,A
2012-06-13,729,A
2012-06-14,933,A
2012-06-15,770,A
2012-06-16,304,A
2012-06-17,298,A
2012-06-18,609,A
2012-06-19,608,A
2012-06-20,766,A
2012-06-21,610,A
2012-06-22,450,A
2012-06-23,307,A
2012-06-24,387,A
2012-06-25,763,A
2012-06-26,751,A
2012-06-27,297,A
2012-06-28,618,A
2012-06-29,633,A
2012-06-30,297,A
2012-07-01,297,A
2012-07-02,1080,A
2012-07-03,1090,A
2012-07-04,1250,A
2012-07-05,1250,A
2012-07-06,1100,A
2012-07-07,380,A
2012-07-08,928,A
2012-07-09,1260,A
2012-07-10,1100,A
2012-07-11,1280,A
2012-07-12,1260,A
2012-07-13,1220,A
2012-07-14,294,A
2012-07-15,290,A
2012-07-16,927,A
2012-07-17,1260,A
2012-07-18,1260,A
2012-07-19,1270,A
2012-07-20,1560,A
2012-07-21,290,A
2012-07-22,285,A
2012-07-23,925,A
2012-07-24,1270,A
2012-07-25,1160,A
2012-07-26,1100,A
2012-07-27,1090,A
2012-07-28,273,A
2012-07-29,272,A
2012-07-30,1270,A
2012-07-31,1270,A
2012-08-01,1040,A
2012-08-02,591,A
2012-08-03,454,A
2012-08-04,448,A
2012-08-05,263,A
2012-08-06,955,A
2012-08-07,931,A
2012-08-08,761,A
2012-08-09,854,A
2012-08-10,933,A
2012-08-11,261,A
2012-08-12,256,A
2012-08-13,580,A
2012-08-14,743,A
2012-08-15,887,A
2012-08-16,949,A
2012-08-17,936,A
2012-08-18,369,A
2012-08-19,310,A
2012-08-20,427,A
2012-08-21,714,A
2012-08-22,922,A
2012-08-23,920,A
2012-08-24,563,A
2012-08-25,233,A
2012-08-26,229,A
2012-08-27,407,A
2012-08-28,569,A
2012-08-29,563,A
2012-08-30,566,A
2012-08-31,391,A
2012-09-01,229,A
2012-09-02,229,A
2012-09-03,568,A
2012-09-04,572,A
2012-09-05,570,A
